week_start,zone,offense_type,incident_count,rolling_mean,rolling_std,anomaly_threshold,is_anomaly
2020-12-28 00:00:00+00:00,1,Aggravated Assault,4,,,,False
2021-01-04 00:00:00+00:00,1,Aggravated Assault,9,,,,False
2021-01-11 00:00:00+00:00,1,Aggravated Assault,12,,,,False
2021-01-18 00:00:00+00:00,1,Aggravated Assault,7,,,,False
2021-01-25 00:00:00+00:00,1,Aggravated Assault,10,8.0,3.366501646120693,16.416254115301733,False
2021-02-01 00:00:00+00:00,1,Aggravated Assault,12,8.4,3.0495901363953815,16.023975340988454,False
2021-02-08 00:00:00+00:00,1,Aggravated Assault,6,9.0,3.0983866769659336,16.745966692414832,False
2021-02-15 00:00:00+00:00,1,Aggravated Assault,7,8.571428571428571,3.0472470011002204,16.189546074179123,False
2021-02-22 00:00:00+00:00,1,Aggravated Assault,11,8.375,2.8753881725529062,15.563470431382266,False
2021-03-01 00:00:00+00:00,1,Aggravated Assault,10,9.25,2.3754698783308417,15.188674695827103,False
2021-03-08 00:00:00+00:00,1,Aggravated Assault,13,9.375,2.38671920665766,15.34179801664415,False
2021-03-15 00:00:00+00:00,1,Aggravated Assault,9,9.5,2.5634797778466227,15.908699444616557,False
2021-03-22 00:00:00+00:00,1,Aggravated Assault,8,9.75,2.3754698783308417,15.688674695827103,False
2021-03-29 00:00:00+00:00,1,Aggravated Assault,10,9.5,2.449489742783178,15.623724356957945,False
2021-04-05 00:00:00+00:00,1,Aggravated Assault,15,9.25,2.2519832529192065,14.879958132298016,True
2021-04-12 00:00:00+00:00,1,Aggravated Assault,8,10.375,2.6152028055746874,16.91300701393672,False
2021-04-19 00:00:00+00:00,1,Aggravated Assault,9,10.5,2.4494897427831783,16.623724356957947,False
2021-04-26 00:00:00+00:00,1,Aggravated Assault,15,10.25,2.49284690951645,16.482117273791125,False
2021-05-03 00:00:00+00:00,1,Aggravated Assault,8,10.875,2.997022331772464,18.36755582943116,False
2021-05-10 00:00:00+00:00,1,Aggravated Assault,15,10.25,3.011881234615431,17.779703086538575,False
2021-05-17 00:00:00+00:00,1,Aggravated Assault,10,11.0,3.3806170189140663,19.451542547285165,False
2021-05-24 00:00:00+00:00,1,Aggravated Assault,8,11.25,3.1959796173138706,19.239949043284675,False
2021-05-31 00:00:00+00:00,1,Aggravated Assault,18,11.0,3.3806170189140663,19.451542547285165,False
2021-06-07 00:00:00+00:00,1,Aggravated Assault,9,11.375,3.9977672339873487,21.369418084968373,False
2021-06-14 00:00:00+00:00,1,Aggravated Assault,14,11.5,3.8913824205360674,21.228456051340167,False
2021-06-21 00:00:00+00:00,1,Aggravated Assault,8,12.125,3.833592123769634,21.708980309424085,False
2021-06-28 00:00:00+00:00,1,Aggravated Assault,11,11.25,3.882193783343198,20.955484458357994,False
2021-07-05 00:00:00+00:00,1,Aggravated Assault,13,11.625,3.6620642110310255,20.780160527577564,False
2021-07-12 00:00:00+00:00,1,Aggravated Assault,8,11.375,3.4615231989895516,20.02880799747388,False
2021-07-19 00:00:00+00:00,1,Aggravated Assault,15,11.125,3.6425069859723185,20.231267464930795,False
2021-07-26 00:00:00+00:00,1,Aggravated Assault,12,12.0,3.625307868699863,21.06326967174966,False
